1.00000 -.44485
.99846 -.44909
.99653 -.38586
.99384 -.33157
.99039 -.28179
.98618 -.23046
.98123 -.18906
.97553 -.15006
.96910 -.10566
.96194 -.05616
.95407 -.00138
.94550 .06061
.93625 .12793
.92632 .19149
.91573 .24463
.90451 .28479
.89266 .31215
.88020 .32926
.86716 .34013
.85355 .34701
.83940 .35143
.82472 .35563
.80955 .36108
.79389 .36605
.77779 .36913
.76125 .37103
.74431 .37278
.72700 .37465
.70933 .37664
.69134 .37877
.67306 .38105
.65451 .38349
.63572 .38601
.61672 .38850
.59755 .39080
.57822 .39278
.55877 .39436
.53923 .39562
.51963 .39672
.50000 .39785
.48037 .39916
.46077 .40069
.44123 .40238
.42178 .40412
.40245 .40571
.38328 .40688
.36428 .40728
.34549 .40659
.32694 .40462
.30866 .40176
.29067 .39786
.27300 .39113
.25569 .38000
.23875 .36537
.22221 .34918
.20611 .33260
.19045 .31551
.17528 .29698
.16060 .27679
.14645 .25490
.13284 .23097
.11980 .20477
.10734 .17617
.09549 .14498
.08427 .11075
.07368 .07291
.06375 .03072
.05450 -.01685
.04593 -.07108
.03806 -.13331
.03090 -.20614
.02447 -.29064
.01877 -.39331
.01382 -.51474
.00961 -.64998
.00616 -.79133
.00347 -.96290
.00154 -1.12624
.00039 -1.24050
.00000 -1.31791
.00039 -1.30601
.00154 -1.22536
.00347 -1.08362
.00616 -.89306
.00961 -.72883
.01382 -.57152
.01877 -.42476
.02447 -.30049
.03090 -.19947
.03806 -.11618
.04593 -.04681
.05450 .01228
.06375 .06420
.07368 .11121
.08427 .15415
.09549 .19300
.10734 .22719
.11980 .25786
.13284 .28557
.14645 .31075
.16060 .33387
.17528 .35526
.19045 .37512
.20611 .39356
.22221 .41060
.23875 .42602
.25569 .43916
.27300 .44992
.29067 .45933
.30866 .46741
.32694 .47405
.34549 .47914
.36428 .48290
.38328 .48571
.40245 .48773
.42178 .48905
.44123 .48975
.46077 .48993
.48037 .48971
.50000 .48916
.51963 .48822
.53923 .48686
.55877 .48506
.57822 .48282
.59755 .48023
.61672 .47739
.63572 .47442
.65451 .47143
.67306 .46845
.69134 .46547
.70933 .46251
.72700 .45954
.74431 .45644
.76125 .45307
.77779 .44922
.79389 .44462
.80955 .43894
.82472 .43179
.83940 .42226
.85355 .40960
.86716 .39299
.88020 .36995
.89266 .33837
.90451 .29695
.91573 .24566
.92632 .18987
.93625 .13480
.94550 .08129
.95407 .03028
.96194 -.01654
.96910 -.05875
.97553 -.09702
.98123 -.13163
.98618 -.16495
.99039 -.19851
.99384 -.23263
.99653 -.27213
.99846 -.32959
